id,title,description,published,brand,model,technology,format,duration
18fZLEBTeuQ,What Makes ORAFOL Vinyl Products Different?,"There is a good chance you are overlooking one of the most consistent vinyl manufacturers in the industry. https://www.lexjet.com/en/orafol In this interview with ORAFOL, we break down their new partnership with LexJet and what it means for sign shops looking for high quality cast vinyl. From fleet graphics to high performance wraps, ORAFOL has built a good better best lineup that gives shops real options without sacrificing quality. We talk through their cast vinyl bundles, what makes each tier different, and how to choose the right material for your application. We also get into what truly sets ORAFOL apart. Consistency in manufacturing, US based production, and a level of quality control that allows them to stand behind their product in a big way. If you are looking for a reliable vinyl partner or want to better understand your cast film options, this is a conversation worth watching.",4/13/2026,ORAFOL,Media,Vinyl,landscape,4:04
44n3ZjvK6i8,"HP Latex vs UV, Resin, and Solvent | HP Latex R530","If you are still outsourcing rigid printing or juggling multiple machines, this is worth a look. https://www.lexjet.com/en/hp-latex-r530-64in-flatbed-printer-2 At the ISA International Sign Expo with HP, we took a look at the HP Latex R530 and why it is becoming a go to option for sign shops that want to do more in house. This true hybrid printer gives you the ability to move from roll media to rigid materials quickly without adding complexity. You can print banners, then turn around and run coroplast, acrylic, styrene, and more without slowing down your workflow. We also get into what makes HP Latex different from UV and solvent technologies. From water based inks to flexibility and reduced maintenance, this is a machine built for shops that want versatility without the headaches. If you are looking to expand your capabilities, simplify your operation, and bring more jobs in house, this is a printer you should be paying attention to.",4/13/2026,HP,Latex R530,HP Latex,landscape,4:57
SM12FRh-ANU,Why Most Sign Shops Get Lighting Wrong | G2G Lighting,"Lighting can make or break a sign and most shops are still leaving money on the table. We stopped by the G2G booth at ISA to talk with Matt Smith about what separates good lighting from great lighting and how sign companies can start thinking differently about LED and architectural lighting. https://g2glighting.com/ From simple channel letter setups to advanced DMX effects, there is a huge opportunity for shops to expand what they offer without overcomplicating the process. The key is understanding how lighting enhances branding and knowing when to lean on the right partner. We also break down how the G2G and LexJet partnership helps shops simplify sourcing, expand their capabilities, and win larger projects.",4/13/2026,G2G,Signs,Signage,landscape,6:18
yZkqRhUeZV4,NEW: Epson SureColor V4000 | Compact UV Printer,"UV printing doesn’t have to require a massive footprint. The Epson SureColor V4000 delivers direct-to-rigid printing in a compact, approachable platform designed for promotional products, signage, and specialty applications. Learn more about the V4000 here: https://www.lexjet.com/en/sc-v4000-white-glove-kit At ISA Sign Expo, we take a closer look at the Epson V4000 and how it enables printing on a wide range of materials including acrylic, wood, promotional items, and more. With a small footprint and versatile media support, this UV flatbed printer is built for shops looking to expand into rigid printing without adding complexity. Explore UV printing possibilities and rigid media applications with solutions available from LexJet.",4/13/2026,Epson,V4000,UV,landscape,4:49
N-GRiFMj8Pw,Inside ISA Expo: Why This Show Matters More Than Ever,"If you’ve ever wondered whether ISA Expo is actually worth attending… this answers it. We sat down with Lori Anderson at ISA Expo 2026 to break down what makes this show so important to the sign, print, and graphics industry, and why it continues to grow year after year. From hands-on technology and live demonstrations to real business connections you can’t get anywhere else, this is a behind-the-scenes look at what actually happens on the show floor. You’ll hear: • Why ISA Expo is considered the “entire industry in one place” • How new technology (including AI) is shaping the future of sign shops • What first-time attendees should focus on • The real value of face-to-face networking in a digital world • How one conversation could change your business If you’re in signage, wide format printing, or graphics—and you’re on the fence about attending—this is the video you need to watch.",4/8/2026,ISA,Misc,Signage,landscape,5:03
DjkRuKTsV5k,"ORAFOL Now Available at LexJet | Print, Laminate, & Vinyl","LexJet is expanding its media lineup with a major addition for print shops and graphics professionals. We’re excited to announce that ORAFOL products are now available at LexJet, including ORAJET print media, ORAGUARD laminates, and ORACAL vinyl films. This expanded offering gives print providers access to trusted materials for everything from everyday signage to high-performance graphics and wraps. ORAFOL products are known for consistent print performance, durability, and compatibility across wide-format workflows. With ORAJET for printing, ORAGUARD for protection, and ORACAL for cut vinyl applications, print shops can now source complete solutions in one place. Common applications include: • Vehicle graphics and wraps • Indoor and outdoor signage • Window graphics and decals • Retail and wall graphics • Floor graphics and promotional displays • Long-term outdoor graphics and branding",4/7/2026,ORAFOL,Media,Vinyl,landscape,1:00
xExDWlp0q8M,Printing Window Film with HP Latex | High-Impact Retail Graphics & Signage!,"Master window graphics production with HP Latex—from printer selection to media performance and real-world installation tips. Learn more about HP Latex printers here: https://www.lexjet.com/en/hp-latex-printers In this live session, LexJet’s Michael Clemente is joined by Paul Wagner (HP) and Casey Schofield (Continental Graphics) to break down the HP Latex lineup (630/730/830), white ink print modes (spot white, second surface, 3-layer and 5-layer), and how film choice impacts durability, privacy, and visual impact across retail, hospitality, architectural, and more. WHAT’S COVERED: HP Latex lineup overview (630 vs 730 vs 830) White ink modes for window graphics (spot white, underlay/overlay, layering) Continental Graphics films for window applications (perf, clear perf, cast options) Privacy + day/night performance considerations Overcoat vs lamination—when to use each Installation best practices (surface prep, wet mount, edge trimming to prevent curl) Explore HP Latex printers and window film solutions at lexjet.com or connect with a LexJet specialist to bring window graphics opportunities into your shop.",2/20/2026,HP,Media,HP Latex,landscape,33:39
MW89EEF7YI4,How to Make 3D Metal Prints | Duraluxe Bendable Panels Tutorial,"In this video, we walk through the full process of sublimating on Duraluxe Aluminum Bendable Panels. Browse Duraluxe Panels here: https://www.lexjet.com/en/duraluxe-aluminum-panels From surface prep and transfer placement to pressing, removing the transfer, and bending the panel while it’s still hot, this step-by-step guide shows how to achieve clean, consistent results on pre-scored aluminum panels designed for dimensional displays. Duraluxe bendable panels make it possible to turn flat metal into eye-catching three-dimensional signage and décor. With the right prep, correct press settings, and proper bending technique, you can produce durable sublimated graphics that stand out visually and physically. This tutorial is designed to help print shops feel confident using the panels from start to finish.",2/19/2026,Duraluxe,Media,Metal,landscape,2:18
gdq_8FUxzhk,Metal Glow-in-the-Dark Signage | Duraluxe,"In this video, we explore how Duraluxe glow-in-the-dark panels function as more than a visual effect. Browse Duraluxe Panels here: https://www.lexjet.com/en/duraluxe-aluminum-panels These panels charge from ambient or artificial light and can glow for hours, providing passive visibility when lighting conditions change or shut off. That makes them a practical solution for signage in stairwells, corridors, docks, theaters, and other environments where visibility still matters after hours. At the same time, glow panels give designers a material that integrates cleanly into architectural spaces. From subtle daytime graphics to ambient nighttime accents, they allow signage, décor, and branding elements to evolve with the lighting—without requiring wiring, switches, or infrastructure changes. It’s a dependable solution for spaces where visibility, safety, and design all need to work together.",2/18/2026,Duraluxe,Media,Metal,landscape,1:02
w1ZZiVJ5WUI,"Print on Golf Balls, Poker Chips, and MORE | EPSON SureColor V1070","UV flatbed printing doesn’t have to mean large machines or complex workflows. The Epson SureColor V1070 brings UV versatility to the desktop in a simple, approachable format. Learn more here: https://www.lexjet.com/en/epson-surecolor-v1070-desktop-uv-flatbed-printer-2 The Epson SureColor V1070 Desktop UV Flatbed Printer is designed for businesses that want to expand into UV printing without adding complexity. In this video, we take a closer look at how the V1070 prints directly onto a wide range of rigid and specialty materials, making it a strong fit for personalization, small signage, and short-run production. You’ll see how it handles applications like branded objects, interior signage, wayfinding, and custom items that were often outsourced in the past. We also highlight how the V1070 works with jigs to enable accurate, repeatable printing on small or curved items like golf balls and poker chips—without trial and error. With intuitive software and consistent print quality, this desktop UV flatbed is built for everyday users, not just UV specialists. Whether you’re operating a print shop, retail environment, or franchise location, the SureColor V1070 offers a practical way to add UV printing capabilities while keeping workflows simple and efficient.",2/5/2026,Epson,V1070,UV,landscape,2:09
,,,,,,,,
